,Unnamed: 0,title,full_time,part_time,from_home,freelance_project,internship,shift_based,date,company_and_location,company_info,num_open_pos,num_applicants,num_viewed,in_consid,not_selected,num_of_employees,sector,job_description,job_requirement,exp_years,career_level,edu_level,sex,salary,job_cats,skills_and_tools,link
4857,4857,Android Developer,1,0,0,0,0,0,Posted 25 days ago,"Confidential Company - Cairo, Egypt",,Applicants for2 open positions,72,0,0.0,0.0,,,"Design, develop, test, and deploy high-quality Android applications• Collaborate with cross-functional teams to identify and prioritize project requirements• Write clean, efficient, and well-documented code that adheres to our coding standards• Participate in code reviews and provide constructive feedback to peers• Troubleshoot and debug issues in the existing codebase• Stay up-to-date with the latest trends and best practices in Android development• Work closely with the UX/UI design team to create visually appealing and user-friendly interfaces• Optimize the performance of the application and ensure it is stable and scalable• Collaborate with the QA team to identify and resolve issues before release• Participate in the full software development lifecycle, including design, development, testing, and deployment• Continuously improve the quality and efficiency of the application","At least 3 years of experience in Android development• Strong proficiency in Java and/or Kotlin programming language• Familiarity with the Android Software Development Kit (SDK), Android Studio, and Gradle• Experience with Android architecture components, such as Room, LiveData, and Coroutines• Knowledge of Android design patterns, such as MVP, MVVM, and MVC• Familiarity with APIs, including RESTful APIs and GraphQL• Experience with third-party libraries and integrations• Strong understanding of software development life cycle, including design, development, testing, and deployment• Excellent problem-solving skills and attention to detail• Strong communication and collaboration skills• A passion for building high-quality mobile applications• Familiarity with other programming languages, such as Python, Ruby, or Swift• Knowledge of machine learning and AI concepts• Experience with continuous integration and continuous deployment (CI/CD) pipelines• Familiarity with agile development methodologies, such as Scrum or Kanban• Experience with version control systems, such as Git• A portfolio of personal projects or contributions to open-source projects",4 to 10 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,IT/Software Development,"['Android', 'Information Technology (IT)', 'Java', 'Software Development', 'APIs', 'Android studio']",https://wuzzuf.net/jobs/p/uCvsFeL0SWSu-Android-Developer-Cairo-Egypt
1526,1526,Senior Backend Developer,1,0,0,0,0,0,Posted 6 days ago,"Art Link - Smouha, Alexandria",Artlink Group is an aggregation of highly professional companies that are committed to being the most future focused ...,Applicants for1 open position,22,3,0.0,0.0, 101-500 employees,"Computer Networking, Publishing and Printing","Build effective, testable and reusable PHP modules.Integration of user-facing elements developed by front-end developersSolve complex performance problems and architectural challenges","Strong knowledge of programming in PHP object oriented language.Strong knowledge of web php frameworks [such as Laravel, Symfony, etc]Create database models that represent and support business processesExperience in background roles or full software developmentUnderstand MVC design patternsUnderstanding access and security complianceGood knowledge of front-end technologies, such as JavaScript, HTML5 and CSS3Good knowledge of version control system tools, such as Git.",4 to 7 years,Experienced (Non-Manager),Not Specified,,Confidential,IT/Software Development,"['Computer Science', 'PHP', 'Laravel', 'Software Development', 'Information Technology (IT)', 'JavaScript', 'Software', 'MVC']",https://wuzzuf.net/jobs/p/3IHOAgysPcLT-Senior-Backend-Developer-Art-Link-Alexandria-Egypt
4135,4135,OD Specialist,1,0,0,0,0,0,Posted 19 days ago,"Selah ElTelmeez For Publ... - Obour City, Cairo","Modern Arab Company (MAC) was founded by Hamdy Mostafa in 1960. Capitalizing on his vast Experience in the field, Ham...",Applicants for1 open position,53,52,7.0,45.0, 501-1000 employees,"Education, Publishing and Printing, E-Learning","Support in analyzing business structures, procedures, processes, and the utilization of resources.Contributing to the restructuring of departments to increase efficiency and align activities with business objectives.Build and maintain organization charts with rotations, promotions, transfers, newly hired employees… etc. monthly for each department.Contribute to the development, implementation, communication, and monitoring of policies and procedures.Formulating Key Performance Indicators based on the objectives to measure employees' performance accurately.Identify and assess future and current training needs.Support in designing training programs and delivering training in line with the development strategy of the company.Evaluate training program effectiveness through surveys, questionnaires, interviews, and observation to design new courses or modify existing ones.Develop performance development review for the human capital employeesDeveloping and updating job descriptions through job analysis to help articulate the most important job duties needed from an employeeCollect certificates and exam results from trainees and archive them as hard and soft copies.Create and update all the forms related to the HR department, such as organizational charts, employee handbooks or directories, or performance evaluation forms.Dealing with complex cases, such as disciplinary grievances and appealsEnsuring engagement is maintained and managers act in a way that involves their staffDealing with employees complain appropriatelyHandling complaints and resolving grievances and conflicts, or otherwise negotiating with others.Developing constructive and cooperative working relationships with others, and maintaining them over time.Support in creating SOPSupport in creating workflowsFollow up on the probation period appraisal for all the company employees.Contribute to designing, developing, and implementing succession planning programs.","BSc degree in any discipline.HR Diploma is highly preferred.3-5 Years of Experience in OD.Very Good In English Language.Very Good In Microsoft Skills.Very Good in the following skills: Critical Thinking, Problem Solving and Judgment.",3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,,"Confidential, Transportation + Allowances",Human Resources,"['HR', 'Organization Development', 'Human Resources', 'Leadership Management', 'English', 'HR Diploma', 'Human Resources (HR)', 'OD']",https://wuzzuf.net/jobs/p/wcIoAJVsDE2H-OD-Specialist-Selah-ElTelmeez-For-Publishing-printing-Cairo-Egypt
3753,3753,Videographer,1,0,0,0,0,0,Posted 15 days ago,"L'azurde for Jewelry - Obour City, Cairo","Being the largest gold and jewelry designer, manufacturer, and distributor in the Middle East and the 4th largest jew...",Applicants for1 open position,61,54,11.0,39.0, More than 1000 employees,"Luxury Goods and Jewelry, Retail","Objective:As a Photographer and Video Maker at L’azurde Company for Jewelry, you will be responsible for creating captivating visual content able to showcase the beauty and craftsmanship of our jewelry pieces and build Brand storytelling. Your creative vision, technical expertise, and attention to detail will play a key role in producing high-quality photographs and videos for marketing and promotional purposes. Responsibilities:Photography and filming live events, short films and ad shoots.Ensuring all photo equipment is ready and in proper working order.Assisting tasks to Camera Operators and Lighting Technicians.Understanding client briefs, offering creative feedback and providing an estimated filming budget.Discussing ideas with the Creative team prior to filming.Ensuring filming in proper lighting and audio clarity with perfect lens choice.Contacting and negotiating with suppliers for equipment, products and services.Troubleshooting minor technical issues with the video camera.Ensuring consistency in filming from start to finish.Maintaining and updating equipment inventory.","Requirements:Proficiency in video editing software like Premier Pro, Final cut, Photoshop, Lightroom.Familiarity with different cameras like digital cameras, professional-grade cameras and digital camcorders.Strong communication and interpersonal skills.Knowledge of different motion picture techniques.Experience in Fashion and Luxury shooting, better if previous experience in jewels.Physically fit and having an eye for detail.Basic knowledge of production modes like doing a single camera setup and adjusting camera’s white balance.Ability to work in a team and in extreme weather conditions",3 to 5 years,Experienced (Non-Manager),Not Specified,,"Confidential, Annual Bonus  - Medical Insurance - Life Insurance",Creative/Design/Art,"['Camera', 'Fashion', 'final cut', 'photoshop', 'Shooting', 'Video Editing', 'Videographer', 'Videography', 'video']",https://wuzzuf.net/jobs/p/Dn72rRgGQ5Oo-Videographer-Lazurde-for-Jewelry-Cairo-Egypt
1805,1805,Full Stack (.Net Developer),1,0,0,0,0,0,Posted 7 days ago,"qTech.  - Mansoura, Dakahlia",Alqemam Tech. established 2010 achieving great successful projects in the Middle East. Our goal is to provide our cli...,Applicants for6 open positions,36,0,0.0,0.0, 101-500 employees,Computer Software,"Developing new software applications.Working closely with business analysts, designers and quality control.Reviewing current systems, and Presenting ideas for system improvement.Combining all elements of the program design.Reacting to problems and correcting the program as necessary.Adapting the program to new requirements, as necessary.Is competent in all or some stages of the systems development life cycle – analysis, design, development and testing, implementation, documentation, and evaluation.Revises software code to make it more efficient and be able to detect bugs in the code.Demonstrates the initiative and method for solving different problems, and propose effective solutions for those problems.Tests their own code before sending it to QC.","More than 2 year of experience.Bachelor’s degree in Computer Science, Software Engineering, or similar field.Strong understanding of object-oriented programmingStrong knowledge of .NET (C#) web framework.Strong Knowledge in ASP.Net MVCStrong Knowledge of JavaScriptStrong in .Net Core, .Net5 and .Net6Familiarity with the ASP.NET frameworkWorking With API (REST, RPC)Knowledge about TFS Server is preferredProblem solving skills, high business flexibility aspects, dynamic and initiative person.High presentation skills, interactive/ communication skillsExcellent knowledge of English language (written and spoken).Writing clean, readable, and easily maintainable codeExcellent troubleshooting and communication skillsAttention to details.",More than 2 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,IT/Software Development,"['ASP.NET', 'Information Technology (IT)', '.NET', 'jQuery', 'Software Development', 'Computer Science', 'javaScript', 'C#', 'Computer Engineering', 'TFS', 'HTML', 'API', 'REST', 'RPC', 'ASP.NET MVC', 'English', 'ASP', 'Software Engineering', 'Engineering', 'Software']",https://wuzzuf.net/jobs/p/vUNKjcFNqyIT-Full-Stack-Net-Developer-qTech-Dakahlia-Egypt
3943,3943,Mathematics Editor,1,0,1,0,0,0,Posted 18 days ago,"Confidential Company - Mokattam, Cairo",,Applicants for1 open position,27,27,18.0,9.0,,,"Edit primary math content for an interactive platform.Review the primary math problems, and correct any mistakes.Review the animated videos explaining the content and  correct any mistakes.",Experience in editing primary math content.Proficiency in using computers and Google docs and sheets.,5 to 15 years,Experienced (Non-Manager),Not Specified,,Confidential,Writing/Editorial,"['Mathematics', 'Content Editing', 'Teaching', 'Work from home', 'Computer Skills']",https://wuzzuf.net/jobs/p/pkiPdpVEWdIY-Mathematics-Editor-Cairo-Egypt
2246,2246,Senior Media Buyer,1,0,0,0,0,0,Posted 10 days ago,"Royal Vision Media - Nasr City, Cairo","A media and marketing agency established in Al Ain, Abu Dhabi, and also has another branch in Egypt.
We are part of g...",Applicants for1 open position,18,2,0.0,0.0, 11-50 employees,Marketing and Advertising,Help identify target audiences and plan media campaignsCompare and negotiate ratesOptimize plans and budgets according to the best media mixPrepare schedules and adjust when neededExperiment with new platforms and channelsEnsure ads are creative and displayed appropriatelyReport to clients and build long-term relationships,"4-5 years in media buying and social mediaStrong knowledge of All Social Portals and Mainly: Google Ads, Snap Chat, Meta (Facebook, Instagram, and Threads), and TwitterStrong Analytical and reporting skillsAbility to Optimize the best performance campaign within the given budgetAbility to recommend the best strategy, tools, executions, and implementation for digital campaignsFluent in English and Arabic",4 to 5 years,Experienced (Non-Manager),Bachelor's Degree,,Confidential,Marketing/PR/Advertising,"['Digital Marketing', 'Media Buying', 'Social Media', 'Google Ads', 'facebook', 'English', 'campaigns', 'Arabic']",https://wuzzuf.net/jobs/p/N7KH0AMk5Vft-Senior-Media-Buyer-Royal-Vision-Media-Cairo-Egypt
4699,4699,Costing Accountant,1,0,0,0,0,0,Posted 22 days ago,"Nile Wood - Alsadat City, Monufya","NILEWOOD is one of the leading industrial companies in Egypt specialized in engineered wood.
Established by EKH Group...",Applicants for1 open position,32,0,0.0,0.0, 101-500 employees,"Agriculture/Fishing/Farming, Manufacturing","Analyzing actual manufacturing costs and preparing periodic reports comparing standard costs to actual production costs.Analyzing changes in product design, raw materials, manufacturing methods or services provided, to determine effects on cost.Planning, Studying, and collecting data to determine costs of business activity such as raw material purchases, inventory and labor.Analyzing data collected and recording results.Recording cost information for use in controlling expenditures.Analyzing audits of costs and preparing reports.Conducts physical inventories and monitors cycle count program.Maintaining Cost Accounting System.Making estimates of new and proposed product costs.Providing management with reports specifying and comparing factors affecting prices and profitability of products or services.Assisting in Month end close of the General Ledger.",Bachelor Degree in AccountingExperience : 3 - 5 solid years of Cost Accounting in a Manufacturing EnvironmentMicrosoft office.ERP experience is mandatory.,3 to 5 years,Experienced (Non-Manager),Bachelor's Degree,Male,Confidential,Accounting/Finance,"['Accounting', 'Cost', 'ERP', 'Finance', 'Financial Analysis', 'Manufacturing']",https://wuzzuf.net/jobs/p/SeZn8e7PTMi9-Costing-Accountant-Nile-Wood-Monufya-Egypt
6232,6232,Branch Sales Manager - El Sharkia Region,1,0,0,0,0,0,Posted 1 month ago,"Confidential Company - 10th of Ramadan City, Sharqia",,Applicants for1 open position,68,53,12.0,41.0,,,"Analyze sales reports, develop proactive solutions for the retail team to meet their objectives.Meet or exceed monthly sales targets within his scope of responsibility.Meet or exceed annual plan for volume, distribution and trade spend.Build a sustainable relationship with the clients.Empower the retail team to develop new clients within the assigned sales territory.Collaborate internally with relevant departments for optimizing the delivery processIdentifies new sales leads, and expands coverage for the assigned product(s) and communicates arising cross-sales opportunities to the concerned Sales team.Build strong and credible relationship to ensure customer retention and optimum customer satisfaction. - Determines the standards of the Sales operations in line with the organizational strategic objectives.Prepares the yearly Sales plan.Provide market trends analysis to Group Commercial Director and adapt them regarding to customers' needs.","Bachelor DegreeProven ability to drive the sales process from plan to closeExcellent mentoring, coaching and people management skillsExcellent communication and negotiation skillsAbility to negotiate contractual arrangements.Self-motivated with excellent time management and prioritization skillsCategory & Brand Knowledge for the processed white cheeses, fresh dairy products with a short lifetime.Proven track record in developing markets and achieving business results.",7 to 10 years,Manager,Not Specified,,"25000 to 35000 EGP Per Month, Monthly Commission",Business Development,"['Sales', 'sales skills', 'sales process']",https://wuzzuf.net/jobs/p/CzhRNoO4kRzx-Branch-Sales-Manager---El-Sharkia-Region-Sharqia-Egypt
876,876,Apex Developer,1,0,0,0,0,0,Posted 4 days ago,"Dorra Group - 6th of October, Giza","The Dorra Group is a name that speaks a legacy; a legacy of revolutionizing accomplishments, brilliant designs and su...",Applicants for1 open position,7,0,0.0,0.0, 11-50 employees,Real Estate/Property Management,"Design and build advanced applications for the platform.Continuously discover, evaluate, and implement new technologies to maximize development efficiency.Implement solutions, and troubleshoots any residual issues post implementation.Work on bug fixing and improving application performance.","-(2 - 3) years of Oracle PL/SQL and APEX experience.-Experience with Oracle Database and relational data modelling.-Experience to design, develop, deploy, test, and troubleshoot new applications.-Experience using Jasper Report to make system reports.-Experience using dynamic actions, pages process, application process, utl_smtp, utl_mail-Preferred using CSS, JavaScript",2 to 3 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,IT/Software Development,"['APEX', 'Computer Science', 'Information Technology (IT)', 'CSS', 'JavaScript', 'Oracle PL/SQL', 'Oracle', 'PL/SQL', 'SQL', 'PL']",https://wuzzuf.net/jobs/p/nMZ2dT80Uzlp-Apex-Developer-Dorra-Group-Giza-Egypt
6489,6489,Hotel Reservations Agent,1,0,0,0,0,0,Posted 1 month ago,"winsome - Nasr City, Cairo","Winsome, your brand’s ultimate marketing & CRM provider.
Winsome is an ever-leading provider of marketing, digital ma...",Applicants for6 open positions,233,163,22.0,134.0, 11-50 employees,Outsourcing/Offshoring,"Help customers with complaints and questions, give customers information about products and services, take orders, and process returns. By helping customers understand the product and answering questions about their reservations.Supports the smooth running of the reservations department, where all aspects of the guest journey and experience are delivered to the highest level.Daily telemarketing with travel agencies.Coordinate DMC contracts & contracted hotels and manage the sales and close and open the availability according to each property commands.Uploading the rates in extranet.Enter the bookings for other OTAS hasn’t API with our platform.Selling and promoting reservation package with tour operator and tracking the payment.Providing support to customers who may need to amend or cancel a reservation.Providing support to clients who may need group reservation for all properties.Replies all emails requests are answered in a timely and efficient manner.",We're actively looking for A #Reservation_Agent to immediately join us. Location: - Nasr City - CairoRequirements:-At least 1 Experience in same role.-Graduates only-Excellent communication skills-English: good-Males and femalesBenefits-Basic salary Up to10K-Working hours 8-Social and medical insurance -Work in rotational shifts and 2 days off,2 to 5 years,Entry Level (Junior Level / Fresh Grad),Not Specified,,Confidential,Tourism/Travel,"['reservations', 'Tourism', 'Opera system', 'OTA']",https://wuzzuf.net/jobs/p/rpKqaHPz2joJ-Hotel-Reservations-Agent-winsome-Cairo-Egypt
3997,3997,Architect Site Engineer,1,0,0,0,0,0,Posted 19 days ago,"Mazar construction  - New Cairo, Cairo","Mazar is considered one of the companies specialized in constructioncompany,Fine_Finishing, architectural solutions &...",Applicants for1 open position,33,27,8.0,2.0, 11-50 employees,Construction - Residential & Commercial/Office,"Site EngineerWe are searching for an architect with 7 , 10 years of experience handling site supervision and labour with an eye for quality.Prefer previous experience in retail and residential projects.Job Requirements:-Must own car. - Full understanding of construction drawings, techniques and planning- Must be able to check and manage the entire site.- Ability to check/ review / comment/ reply RFA, RFI, MS submitted by contractors.- Must be able to list the material stocks needed for the site.- Able to cope with a demanding schedule.- Must be able to submit Site Daily Report",,7 to 12 years,"Senior Management (CEO, GM, Director, Head)",Not Specified,,"8000 to 15000 EGP Per Month, Medical insurance 
Social insurance",Engineering - Construction/Civil/Architecture,"['Architect', 'AutoCAD', 'Site', 'Site Engineer']",https://wuzzuf.net/jobs/p/cL4d62wAOws0-Architect-Site-Engineer-Mazar-construction-Cairo-Egypt
5632,5632,Sr. Cost Account,1,0,0,0,0,0,Posted 28 days ago,"National Pipe Company - Badr City, Cairo","NPC is a result of the joint cooperation between two of largest private contractors in Egypt, Orascom and Allam Sons....",Applicants for1 open position,44,18,0.0,0.0, 501-1000 employees,Manufacturing,Responsible for costing every production stage of the company product. Analysis the cost for each product to its main cost items.Responsible for all ERP cost entries.Reviewing all store adding and move orders and validating that the move orders in the correct cost center.Monthly cost report Monthly production & inventory cost,Graduate of faculty of CommerceYears of Experience and Required Knowledge: Between 5 to 8 prefer from industry field.Minimum 2 years in costing products.Using ERP and understanding the effect of transaction in GLPrefer if he have experience with ODOO ERP,5 to 8 years,Experienced (Non-Manager),Not Specified,,Confidential,Accounting/Finance,"['Accounting', 'Costing', 'ERP', 'Finance']",https://wuzzuf.net/jobs/p/5vAAlMjreLjP-Sr-Cost-Account-National-Pipe-Company-Cairo-Egypt
333,333,Customer Service Representative,1,0,0,0,0,0,Posted 1 day ago,"Nile Projects & Trading - Alexandria, Egypt","Nile Projects is a major player in Egypt’s  automotive market , being the nations’ Sole Distributor & importer for Br...",Applicants for1 open position,27,0,0.0,0.0, More than 1000 employees,"Apparel and Fashion, Automotive","Communicating with customers through various channels.• Acknowledging and resolving customer complaints, providing appropriate solutions and alternatives within the time limits.• Responding promptly to customer inquiries. • Making outbound calls and receiving incoming calls.• Identify customers’ needs, ensure customer satisfaction and provide professional customer support.• Assisting in weekly tasks and providing weekly and monthly reports.• Assisting in uploading and downloading website pictures process.• Maintaining a positive and professional attitude towards customers.• Keeping records of customer interactions, comments, and complaints.• Communicating and coordinating with colleagues as necessary.• Follow communication procedures, guidelines and policies.","Customer orientation and ability to adapt/respond to different types of characters.• Ability to multi-task, prioritize, and manage time effectively.• Enthusiasm, energy, and a positive attitude.•Fluency in English is a MUST.",1 to 3 years,Entry Level (Junior Level / Fresh Grad),Bachelor's Degree,,Confidential,Operations/Management,"['Customer Care', 'Customer Service', 'Customer Support', 'Fluency in English', 'Sales', 'Customer']",https://wuzzuf.net/jobs/p/SxOjjBoksY3i-Customer-Service-Representative-Nile-Projects-Trading-Alexandria-Egypt
4384,4384,Payroll Supervisor - October City,1,0,0,0,0,0,Posted 21 days ago,"GEMS Education - 6th of October, Giza","Trusted for over 55 years and now a third generation education family, GEMS Education began in a single school room i...",Applicants for1 open position,42,11,3.0,7.0, More than 1000 employees,Education,"Ensure salaries and benefits comply with the current legislation about human rights and pay equity.Design compensation packages and bonus programs that align with the company’s strategic plan.Evaluate and report on the effectiveness of employee benefit programs.Track compensation and benefits benchmarking data.Develop an effective relationship with the human resources and benefits teams at all our locations.Ensuring wage and salary calculations are accurate.Ensuring work records are captured correctly and completely.Reporting to management on payroll, benefits, leave, and tax.Validation data with entities.Prepare payroll reconciliation with finance Department.Analyze monthly payroll data versus budget.Validate the data on the HRIS to make sure it’s 100% accurate.Forecast people cost till the end of the year.Analyze the financial impact for the other departments regarding the investment.","Hands-on experience with HRIS or payroll software.Knowledge of building compensation packages and bonus programs for various departments and seniority levels.outstanding analytical skills.Familiarity with labor legislation, Tax and social insurance.Knowledge of basic structures for compensation, taxes and wages.Fluent in English.",4 to 6 years,Manager,Bachelor's Degree,,Confidential,Human Resources,"['Compensation', 'Labor', 'Payroll', 'Social Insurance', 'HRIS', 'Labor Legislation', 'compesation & benefits', 'Budgeting', 'Human Resources (HR)', 'Payroll Software', 'Insurance']",https://wuzzuf.net/jobs/p/6KEQCcFKvAKs-Payroll-Supervisor---October-City-GEMS-Education-Giza-Egypt
